"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO";"ARQUIVO_FOTO";"B_RUR";"B_EV";"B_AMB"
"Walter Pinheiro";"Walter Pinheiro";"PT";"BA";604;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv604.jpg";;;"True";"True"
"Wellington Dias";"Wellington Dias";"PT";"PI";5016;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5016.jpg";;;;"True"
"Wilson Matos";"Wilson Matos";"PSDB";"PR";4772;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4772.jpg";;;;
"Wilson Santiago";"Wilson Santiago";"PMDB";"PB";3811;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3811.jpg";;;;
"Zeze Perrella";"Zeze Perrella";"PDT";"MG";5144;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5144.jpg";;;;
"Tomas Correia";"Tomas Correia";"PMDB";"RO";4949;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4949.jpg";;;;
"Wilder Morais";"Wilder Morais";"DEM";"GO";5070;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5070.jpg";;;;
"Cidinho Santos";"Cidinho Santos";"PR";"MT";5108;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5108.jpg";;;;
"Antonio Carlos Rodrigues";"Antonio Carlos Rodrigues";"PR";"SP";4957;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4957.jpg";;;;
"Gim";"Gim";"PTB";"DF";4776;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4776.jpg";;;;
"Joao Costa";"Joao Costa";"PPL";"TO";5166;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5166.jpg";;;;
"Marco Antonio Costa";"Marco Antonio Costa";"PSD";"TO";4788;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4788.jpg";;;;
"Sodre Santoro";"Sodre Santoro";"PTB";"RR";4957;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4957.jpg";;;;
"Ruben Figueiro";"Ruben Figueiro";"PSDB";"MS";4893;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4893.jpg";;;;
"Acir Gurgacz";"Acir Gurgacz";"PDT";"RO";4981;"--";"53/54";"http://www.senado.leg.br/senadores/img/fotos/bemv4981.jpg";;;;
